id;brand;model;production_year;daily_price;status
1;jaggedly;goose wobbly unimportant;17388;2625.21;RENTED
2;championship;wedge;11142;25276.6;AVAILABLE
3;ugh shovel;unless quit;22382;32320.56;SERVICE
4;within;forenenst;20490;2878.21;AVAILABLE
5;accredit;quaver and;9009;15707.86;SERVICE
6;oh drat;which snappy;23239;5980.79;RENTED
7;which unless tense;drat ick cinema;23484;7718.34;SERVICE
8;yet crowded;bookcase violently;2854;13152.56;AVAILABLE
9;pop triumphantly;who fooey knottily;29880;13573.69;RENTED
10;bitterly;sticky gloat empty;15855;3141.44;RENTED
11;last pish poorly;anxiously ordinary next;24026;28125.95;RENTED
12;gosh dimly;spanish;14484;3285.24;SERVICE
13;stiffen who sans;yum below;17489;20745.87;SERVICE
14;gift;gracious disconnection;25804;32157.61;SERVICE
15;brr speedily;lean access;23642;29521.12;AVAILABLE
16;till gratefully huzzah;duh aha;8103;28300.07;SERVICE
17;meager heavy;youthfully along;3335;7840;AVAILABLE
18;meanwhile;huddle;12623;16933.3;RENTED
19;nice yippee while;inasmuch dissemble;21504;6663.46;RENTED
20;anti while;tuba toward;27077;3002.92;RENTED
21;analyse petticoat;failing similar;31756;26785.16;SERVICE
22;or;close;6449;31008.07;SERVICE
23;owlishly climb;if;21494;2130.8;RENTED
24;um unless beside;brisk;3153;29846.59;SERVICE
25;slather in;psst passionate defendant;22025;3709.65;RENTED
26;unnaturally huzzah;failing slope frantically;6098;30953.23;SERVICE
27;mild except;yogurt at gallivant;9856;3312.82;SERVICE
28;knit pfft;though airmail exalt;26425;6928.14;RENTED
29;aw;wherever phew;3810;21293.43;RENTED
30;quintessential impassioned that;of lox;13271;1519.68;SERVICE
