id;name;description
1;forenenst;scenario
2;however;clinking even
3;noxious;upright
4;cram especially;seriously
5;pine;fashion waltz
6;huzzah hmph that;oof putrefy as
7;instead;traduce
8;jaywalk whereas dead;truthfully
9;scholarship sad whoever;bah understanding
10;after psst;pish narrowcast controvert
11;afraid;beyond sardonic athwart
12;vice lest sans;crossly brr
13;midst;apud after
14;athwart;even as aha
15;equal whoever although;courageously unless stuff
16;beneath severe up;hm
17;pessimistic;er
18;yowza until toe;eek
19;pike er;marksman wedding replacement
20;godparent;bah meager
21;birth regarding;rival
22;baggy phew quaintly;quaver assist
23;inconsequential on;moor
24;oddball;drat
25;fork quicker;monumental
26;about mmm across;lest hmph
27;gosh pulse;regularly indeed furthermore
28;across regarding;yuck
29;since;except till mid
30;thankfully turret;chap harmful inquisitively
