id;start_date;end_date;total_price;status;car_id;customer_id
1;2026-06-11;2026-06-11;5128.21;FINISHED;1;1
2;2026-06-11;2026-06-11;8434.81;FINISHED;2;2
3;2026-06-12;2026-06-11;29647.85;FINISHED;3;3
4;2026-06-11;2026-06-11;3745.38;ACTIVE;4;4
5;2026-06-12;2026-06-11;5244.63;PLANNED;5;5
6;2026-06-11;2026-06-11;21780.45;PLANNED;6;6
7;2026-06-11;2026-06-12;12881.25;CANCELLED;7;7
8;2026-06-12;2026-06-11;11436.11;ACTIVE;8;8
9;2026-06-11;2026-06-11;16423.43;PLANNED;9;9
10;2026-06-11;2026-06-12;4076.25;CANCELLED;10;10
11;2026-06-11;2026-06-12;11104.04;ACTIVE;11;11
12;2026-06-11;2026-06-11;23466.2;CANCELLED;12;12
13;2026-06-11;2026-06-12;21189.15;CANCELLED;13;13
14;2026-06-12;2026-06-11;7272.43;ACTIVE;14;14
15;2026-06-12;2026-06-11;22730.98;PLANNED;15;15
16;2026-06-12;2026-06-11;21417.75;PLANNED;16;16
17;2026-06-11;2026-06-11;8191.28;PLANNED;17;17
18;2026-06-11;2026-06-11;1301.39;CANCELLED;18;18
19;2026-06-11;2026-06-11;12975.45;FINISHED;19;19
20;2026-06-11;2026-06-11;6344.99;ACTIVE;20;20
21;2026-06-11;2026-06-11;2525.14;ACTIVE;21;21
22;2026-06-11;2026-06-11;3973.2;CANCELLED;22;22
23;2026-06-11;2026-06-12;19690.06;FINISHED;23;23
24;2026-06-11;2026-06-12;18284.85;CANCELLED;24;24
25;2026-06-11;2026-06-11;30161.09;CANCELLED;25;25
26;2026-06-11;2026-06-12;1784.73;CANCELLED;26;26
27;2026-06-11;2026-06-11;14201.57;CANCELLED;27;27
28;2026-06-11;2026-06-11;16078.65;ACTIVE;28;28
29;2026-06-11;2026-06-11;8429.16;PLANNED;29;29
30;2026-06-12;2026-06-12;15834.83;CANCELLED;30;30
